,carga_real,data_previsao,prevcarga,carga_prevista_final
0,6903,2024-01-01 00:30:00,7182.382,6923.03125
1,6952,2024-01-01 01:00:00,7217.006,7034.91796875
2,7011,2024-01-01 01:30:00,7249.4087,7004.01953125
3,7068,2024-01-01 02:00:00,7290.9214,7019.6015625
4,7104,2024-01-01 02:30:00,7341.388,7056.015625
5,7122,2024-01-01 03:00:00,7379.1343,7077.5
6,7117,2024-01-01 03:30:00,7406.8105,7087.0234375
7,7098,2024-01-01 04:00:00,7405.2456,7081.17578125
8,7068,2024-01-01 04:30:00,7369.767,7055.41015625
9,7035,2024-01-01 05:00:00,7332.08,7027.30859375
10,6887,2024-01-01 05:30:00,7301.732,7002.4375
11,6705,2024-01-01 06:00:00,7151.871,6887.8046875
12,6612,2024-01-01 06:30:00,6884.0215,6690.16796875
13,6547,2024-01-01 07:00:00,6664.0093,6523.24609375
14,6495,2024-01-01 07:30:00,6476.8364,6385.83203125
15,6450,2024-01-01 08:00:00,6346.8125,6297.16796875
16,6387,2024-01-01 08:30:00,6278.4653,6261.31640625
17,6355,2024-01-01 09:00:00,6226.352,6228.375
18,6368,2024-01-01 09:30:00,6194.1646,6217.2265625
19,6342,2024-01-01 10:00:00,6169.879,6214.60546875
20,6297,2024-01-01 10:30:00,6153.043,6196.5859375
21,6290,2024-01-01 11:00:00,6136.663,6220.76171875
22,6277,2024-01-01 11:30:00,6121.09,6206.40234375
23,6327,2024-01-01 12:00:00,6106.115,6208.9140625
24,6371,2024-01-01 12:30:00,6089.832,6201.58984375
25,6368,2024-01-01 13:00:00,6094.8755,6212.42578125
26,6398,2024-01-01 13:30:00,6120.4663,6231.56640625
27,6435,2024-01-01 14:00:00,6151.961,6258.390625
28,6438,2024-01-01 14:30:00,6189.9653,6294.6171875
29,6461,2024-01-01 15:00:00,6228.9097,6325.50390625
30,6458,2024-01-01 15:30:00,6268.2896,6353.55859375
31,6419,2024-01-01 16:00:00,6284.3276,6393.71875
32,6426,2024-01-01 16:30:00,6281.609,6398.015625
33,6403,2024-01-01 17:00:00,6286.9395,6413.59375
34,6380,2024-01-01 17:30:00,6287.81,6399.84765625
35,6432,2024-01-01 18:00:00,6382.572,6476.15234375
36,6663,2024-01-01 18:30:00,6580.3896,6615.0
37,6823,2024-01-01 19:00:00,6848.178,6805.91015625
38,6883,2024-01-01 19:30:00,7195.6045,7049.1875
39,6974,2024-01-01 20:00:00,7442.5625,7344.421875
40,7077,2024-01-01 20:30:00,7589.7993,7443.77734375
41,7166,2024-01-01 21:00:00,7721.971,7525.734375
42,7259,2024-01-01 21:30:00,7824.13,7589.546875
43,7362,2024-01-01 22:00:00,7930.961,7628.1640625
44,7437,2024-01-01 22:30:00,8044.107,7727.421875
45,7454,2024-01-01 23:00:00,8101.554,7629.15625
46,7406,2024-01-01 23:30:00,8117.7563,7641.48828125
47,7109,2024-01-02 00:30:00,7095.3516,7197.6640625
48,7053,2024-01-02 01:00:00,7022.624,7104.6171875
49,7009,2024-01-02 01:30:00,6949.804,7090.45703125
50,6949,2024-01-02 02:00:00,6877.2314,7000.53125
51,6879,2024-01-02 02:30:00,6806.0527,6921.2265625
52,6816,2024-01-02 03:00:00,6729.56,6857.27734375
53,6740,2024-01-02 03:30:00,6645.708,6790.59375
54,6663,2024-01-02 04:00:00,6584.3022,6745.4375
55,6631,2024-01-02 04:30:00,6541.916,6740.921875
56,6589,2024-01-02 05:00:00,6500.212,6708.44921875
57,6546,2024-01-02 05:30:00,6473.6846,6663.109375
58,6351,2024-01-02 06:00:00,6351.8774,6608.60546875
59,6229,2024-01-02 06:30:00,6129.9727,6466.1640625
60,6248,2024-01-02 07:00:00,6030.6323,6339.05078125
61,6386,2024-01-02 07:30:00,6031.2773,6327.46484375
62,6573,2024-01-02 08:00:00,6147.3306,6527.4921875
63,6753,2024-01-02 08:30:00,6399.0054,6733.80859375
64,6836,2024-01-02 09:00:00,6562.4556,6824.01953125
