,carga_real,data_previsao,prevcarga,carga_prevista_final
0,13322,2024-01-01 00:30:00,13532.349,13145.0625
1,13158,2024-01-01 01:00:00,13513.895,13370.5
2,13041,2024-01-01 01:30:00,13495.786,13186.015625
3,12951,2024-01-01 02:00:00,13475.135,13132.046875
4,12868,2024-01-01 02:30:00,13450.524,13104.84375
5,12787,2024-01-01 03:00:00,13421.004,13047.25
6,12723,2024-01-01 03:30:00,13381.777,12996.0625
7,12649,2024-01-01 04:00:00,13314.303,12928.296875
8,12409,2024-01-01 04:30:00,13240.954,12867.0625
9,11985,2024-01-01 05:00:00,12946.127,12589.8125
10,11538,2024-01-01 05:30:00,12432.579,12090.609375
11,11223,2024-01-01 06:00:00,12010.464,11675.1875
12,11109,2024-01-01 06:30:00,11640.72,11290.140625
13,11180,2024-01-01 07:00:00,11484.899,11260.890625
14,11289,2024-01-01 07:30:00,11555.478,11362.890625
15,11287,2024-01-01 08:00:00,11583.924,11415.65625
16,11320,2024-01-01 08:30:00,11589.191,11525.71875
17,11308,2024-01-01 09:00:00,11584.729,11565.421875
18,11342,2024-01-01 09:30:00,11560.065,11597.4375
19,11355,2024-01-01 10:00:00,11546.789,11640.59375
20,11398,2024-01-01 10:30:00,11542.468,11654.65625
21,11489,2024-01-01 11:00:00,11543.154,11699.125
22,11514,2024-01-01 11:30:00,11549.998,11705.1875
23,11541,2024-01-01 12:00:00,11556.352,11694.65625
24,11549,2024-01-01 12:30:00,11565.092,11678.375
25,11529,2024-01-01 13:00:00,11559.807,11733.59375
26,11518,2024-01-01 13:30:00,11537.1,11722.109375
27,11549,2024-01-01 14:00:00,11555.885,11878.859375
28,11586,2024-01-01 14:30:00,11614.713,11926.671875
29,11643,2024-01-01 15:00:00,11675.374,11824.921875
30,11620,2024-01-01 15:30:00,11739.382,11857.359375
31,11592,2024-01-01 16:00:00,11815.489,11915.59375
32,11605,2024-01-01 16:30:00,11904.927,11980.875
33,11688,2024-01-01 17:00:00,11956.164,11997.0625
34,12086,2024-01-01 17:30:00,11907.935,11898.578125
35,12846,2024-01-01 18:00:00,12256.457,12146.125
36,13303,2024-01-01 18:30:00,13103.297,12889.09375
37,13437,2024-01-01 19:00:00,13644.427,13458.5
