,carga_real,data_previsao,prevcarga,carga_prevista_final
0,10451,2024-01-01 00:30:00,12830.629,10454.25
1,10434,2024-01-01 01:00:00,12853.29,10950.28125
2,10345,2024-01-01 01:30:00,12897.069,10741.5
3,10206,2024-01-01 02:00:00,12841.622,10616.1875
4,10060,2024-01-01 02:30:00,12691.686,10471.28125
5,9898,2024-01-01 03:00:00,12527.265,10308.625
6,9740,2024-01-01 03:30:00,12332.85,10130.375
7,9613,2024-01-01 04:00:00,12188.196,9961.71875
8,9498,2024-01-01 04:30:00,12106.228,9883.84375
9,9332,2024-01-01 05:00:00,11919.663,9713.09375
10,8897,2024-01-01 05:30:00,11631.897,9448.625
11,9039,2024-01-01 06:00:00,11444.896,9307.75
12,9205,2024-01-01 06:30:00,11337.182,9187.53125
13,9415,2024-01-01 07:00:00,11352.275,9218.375
14,9593,2024-01-01 07:30:00,11500.861,9371.78125
15,9809,2024-01-01 08:00:00,11648.013,9516.6875
16,10011,2024-01-01 08:30:00,11801.12,9713.96875
17,10260,2024-01-01 09:00:00,11976.644,9913.0
18,10502,2024-01-01 09:30:00,12164.784,10043.09375
19,10750,2024-01-01 10:00:00,12377.19,10238.6875
20,10983,2024-01-01 10:30:00,12621.028,10432.9375
21,11317,2024-01-01 11:00:00,12761.807,10595.90625
22,11446,2024-01-01 11:30:00,12806.974,10668.90625
23,11385,2024-01-01 12:00:00,12790.37,10686.5
24,11246,2024-01-01 12:30:00,12702.35,10577.875
25,11105,2024-01-01 13:00:00,12637.947,10546.875
26,10999,2024-01-01 13:30:00,12592.018,10532.875
27,10844,2024-01-01 14:00:00,12585.726,10550.65625
28,10812,2024-01-01 14:30:00,12620.235,10594.375
29,10942,2024-01-01 15:00:00,12690.202,10661.46875
30,11051,2024-01-01 15:30:00,12805.315,10764.5
31,11059,2024-01-01 16:00:00,12896.523,10858.84375
32,11002,2024-01-01 16:30:00,12952.245,10959.4375
33,11031,2024-01-01 17:00:00,13147.664,11137.03125
34,11048,2024-01-01 17:30:00,13492.661,11407.90625
35,11079,2024-01-01 18:00:00,13745.917,11574.03125
36,11240,2024-01-01 18:30:00,13901.184,11637.0625
37,11566,2024-01-01 19:00:00,14234.837,11875.1875
38,12366,2024-01-01 19:30:00,14732.694,12278.65625
39,12728,2024-01-01 20:00:00,15150.112,12894.125
40,12729,2024-01-01 20:30:00,15530.194,13170.4375
41,12691,2024-01-01 21:00:00,15588.812,13176.875
42,12574,2024-01-01 21:30:00,15311.529,12995.125
43,12358,2024-01-01 22:00:00,15069.248,12740.8125
44,12164,2024-01-01 22:30:00,14854.692,12589.71875
45,11737,2024-01-01 23:00:00,14530.43,11961.53125
46,11305,2024-01-01 23:30:00,14062.815,11477.125
47,10635,2024-01-02 00:30:00,11991.334,11188.46875
48,10363,2024-01-02 01:00:00,11654.695,11073.53125
49,10099,2024-01-02 01:30:00,11305.661,10743.96875
50,9929,2024-01-02 02:00:00,11019.949,10418.78125
51,9780,2024-01-02 02:30:00,10791.455,10220.59375
52,9671,2024-01-02 03:00:00,10625.991,9995.8125
53,9583,2024-01-02 03:30:00,10526.286,9992.875
54,9550,2024-01-02 04:00:00,10465.436,9889.0625
55,9545,2024-01-02 04:30:00,10446.622,9792.6875
56,9477,2024-01-02 05:00:00,10453.202,9844.78125
57,9358,2024-01-02 05:30:00,10479.334,9896.5625
58,9875,2024-01-02 06:00:00,10592.4375,10010.71875
59,10314,2024-01-02 06:30:00,10789.671,10174.34375
60,10862,2024-01-02 07:00:00,11244.069,10579.3125
61,11318,2024-01-02 07:30:00,11958.855,11227.40625
