,carga_real,data_previsao,prevcarga,carga_prevista_final
0,36749,2024-01-01 00:30:00,40358.516,37003.5
1,36642,2024-01-01 01:00:00,40175.16,38459.0
2,36535,2024-01-01 01:30:00,40015.793,37318.5
3,36407,2024-01-01 02:00:00,39737.93,36960.5
4,36099,2024-01-01 02:30:00,39357.26,36556.0
5,35685,2024-01-01 03:00:00,38873.586,36125.0
6,35228,2024-01-01 03:30:00,38253.3,35542.0
7,34806,2024-01-01 04:00:00,37801.957,35013.0
8,34250,2024-01-01 04:30:00,37548.27,34613.0
9,33306,2024-01-01 05:00:00,36932.53,34060.0
10,32404,2024-01-01 05:30:00,35981.844,33213.0
11,32172,2024-01-01 06:00:00,35192.99,32499.5
12,32209,2024-01-01 06:30:00,34500.594,31814.5
13,32329,2024-01-01 07:00:00,34235.19,31868.5
14,32546,2024-01-01 07:30:00,34399.477,32164.5
15,33046,2024-01-01 08:00:00,34737.746,32803.0
16,33538,2024-01-01 08:30:00,35282.03,33542.5
17,34192,2024-01-01 09:00:00,35864.527,34213.0
18,34901,2024-01-01 09:30:00,36482.996,35050.5
19,35402,2024-01-01 10:00:00,37119.09,35709.5
20,36091,2024-01-01 10:30:00,37762.777,36214.5
21,36440,2024-01-01 11:00:00,38333.426,36802.5
22,36688,2024-01-01 11:30:00,38842.527,37299.5
23,36702,2024-01-01 12:00:00,39077.188,37179.5
24,36408,2024-01-01 12:30:00,39062.38,36997.5
25,35972,2024-01-01 13:00:00,38755.113,36609.0
26,35725,2024-01-01 13:30:00,38130.41,36142.5
27,35550,2024-01-01 14:00:00,37693.383,35272.5
28,35634,2024-01-01 14:30:00,37410.477,34933.5
29,35804,2024-01-01 15:00:00,37350.785,34717.5
30,35962,2024-01-01 15:30:00,37530.965,34910.0
31,36209,2024-01-01 16:00:00,37829.844,35199.5
32,36517,2024-01-01 16:30:00,38276.836,35572.5
33,36938,2024-01-01 17:00:00,38737.33,35729.0
34,37574,2024-01-01 17:30:00,39213.95,35957.5
35,38373,2024-01-01 18:00:00,39994.324,36568.5
36,39666,2024-01-01 18:30:00,40962.457,37373.5
37,41623,2024-01-01 19:00:00,42802.97,38948.0
38,42545,2024-01-01 19:30:00,45645.703,42301.5
39,42824,2024-01-01 20:00:00,47193.926,43763.5
40,42879,2024-01-01 20:30:00,47549.277,44191.5
41,42731,2024-01-01 21:00:00,47286.66,44160.0
42,42537,2024-01-01 21:30:00,46268.81,42832.5
43,42070,2024-01-01 22:00:00,45253.105,41903.5
44,41626,2024-01-01 22:30:00,44279.156,40670.0
