,carga_real,data_previsao,prevcarga,carga_prevista_final
0,7292,2024-01-15 00:30:00,7335.0015,7245.610421878974
1,7226,2024-01-15 01:00:00,7271.924,7179.556990407463
2,7174,2024-01-15 01:30:00,7211.0186,7161.027994443286
3,7114,2024-01-15 02:00:00,7140.8457,7123.337014415369
4,7055,2024-01-15 02:30:00,7061.008,7080.503147226241
5,7001,2024-01-15 03:00:00,6991.9814,7035.518212932952
6,6944,2024-01-15 03:30:00,6932.1035,6962.056934574591
7,6891,2024-01-15 04:00:00,6879.963,6908.206901131176
8,6855,2024-01-15 04:30:00,6834.5054,6850.107771142423
9,6788,2024-01-15 05:00:00,6793.7905,6799.89419118069
10,6687,2024-01-15 05:30:00,6767.3496,6765.981598863732
11,6548,2024-01-15 06:00:00,6675.6484,6685.498191635897
12,6412,2024-01-15 06:30:00,6515.0464,6549.148416374136
13,6319,2024-01-15 07:00:00,6453.7256,6410.215024380954
14,6304,2024-01-15 07:30:00,6474.523,6344.076711856187
15,6300,2024-01-15 08:00:00,6595.4043,6397.786199179255
16,6272,2024-01-15 08:30:00,6831.2896,6363.078979686221
17,6264,2024-01-15 09:00:00,7005.3726,6340.9386724104515
18,6259,2024-01-15 09:30:00,7123.004,6333.981015086268
19,6279,2024-01-15 10:00:00,7228.562,6328.69039514322
20,6310,2024-01-15 10:30:00,7316.999,6335.037143165275
21,6352,2024-01-15 11:00:00,7351.648,6358.0540609943555
22,6377,2024-01-15 11:30:00,7337.988,6376.597325242295
23,6399,2024-01-15 12:00:00,7300.138,6424.701907822978
24,6428,2024-01-15 12:30:00,7223.899,6426.7380496037895
25,6479,2024-01-15 13:00:00,7265.224,6432.481829108916
26,6534,2024-01-15 13:30:00,7423.7856,6487.141362338197
27,6582,2024-01-15 14:00:00,7552.415,6527.898558749755
28,6629,2024-01-15 14:30:00,7664.5303,6562.129759520048
29,6671,2024-01-15 15:00:00,7728.5303,6561.031522161594
30,6691,2024-01-15 15:30:00,7740.2603,6570.3987026746845
31,6688,2024-01-15 16:00:00,7711.0356,6565.107180077135
32,6654,2024-01-15 16:30:00,7645.6694,6545.238713415876
33,6622,2024-01-15 17:00:00,7505.423,6515.454001605752
34,6651,2024-01-15 17:30:00,7288.8696,6478.895511684985
35,6748,2024-01-15 18:00:00,7135.595,6542.101253211111
36,6902,2024-01-15 18:30:00,7026.5376,6685.860054413742
37,7055,2024-01-15 19:00:00,7050.1235,6818.067201517193
38,7150,2024-01-15 19:30:00,7220.7954,7025.945882654574
39,7176,2024-01-15 20:00:00,7315.7676,7156.565628702985
40,7211,2024-01-15 20:30:00,7339.912,7153.685743809939
41,7252,2024-01-15 21:00:00,7414.337,7223.799862882844
42,7294,2024-01-15 21:30:00,7530.5137,7236.450543971013
43,7341,2024-01-15 22:00:00,7607.9272,7289.679575271285
44,7377,2024-01-15 22:30:00,7655.4087,7364.949476818141
45,7407,2024-01-15 23:00:00,7669.548,7393.123549380023
46,7397,2024-01-15 23:30:00,7640.7114,7416.216766137276
47,7224,2024-01-16 00:30:00,7728.716,7279.8347650927
48,7188,2024-01-16 01:00:00,7676.1094,7214.794102885611
49,7123,2024-01-16 01:30:00,7626.954,7157.729873775115
50,7064,2024-01-16 02:00:00,7562.193,7079.568453609624
51,7001,2024-01-16 02:30:00,7481.999,7004.887631137579
52,6933,2024-01-16 03:00:00,7407.7134,6950.207058438256
53,6873,2024-01-16 03:30:00,7336.951,6897.066020663153
54,6812,2024-01-16 04:00:00,7274.9204,6847.327074573512
55,6770,2024-01-16 04:30:00,7220.543,6800.243453672164
56,6728,2024-01-16 05:00:00,7166.5527,6757.899107759826
57,6645,2024-01-16 05:30:00,7122.772,6738.250486169475
58,6482,2024-01-16 06:00:00,7011.5913,6670.78452732033
59,6378,2024-01-16 06:30:00,6830.043,6553.728322258215
60,6395,2024-01-16 07:00:00,6740.2944,6487.638936758098
61,6544,2024-01-16 07:30:00,6724.1177,6507.452368908271
62,6775,2024-01-16 08:00:00,6816.9155,6719.956562116845
63,6935,2024-01-16 08:30:00,7034.0444,6929.037479131159
64,7063,2024-01-16 09:00:00,7182.342,7085.784383574781
65,7161,2024-01-16 09:30:00,7265.1123,7202.800910244839
66,7245,2024-01-16 10:00:00,7363.0024,7295.75812610568
67,7297,2024-01-16 10:30:00,7468.7915,7390.059813392583
68,7309,2024-01-16 11:00:00,7505.0317,7444.061845974106
69,7291,2024-01-16 11:30:00,7486.7886,7418.398515982762
70,7266,2024-01-16 12:00:00,7462.0806,7400.484491619049
71,7296,2024-01-16 12:30:00,7410.3306,7317.611575519689
72,7408,2024-01-16 13:00:00,7479.588,7325.499644748667
73,7560,2024-01-16 13:30:00,7668.2817,7461.709358881872
74,7678,2024-01-16 14:00:00,7839.0005,7574.271896983021
75,7724,2024-01-16 14:30:00,8011.3325,7683.861223889448
76,7710,2024-01-16 15:00:00,8076.2397,7737.661815790175
77,7670,2024-01-16 15:30:00,8027.944,7766.622513644204
78,7619,2024-01-16 16:00:00,7974.094,7726.6975660843555
79,7506,2024-01-16 16:30:00,7911.3477,7656.643412052902
80,7325,2024-01-16 17:00:00,7786.9116,7534.380517279642
81,7126,2024-01-16 17:30:00,7606.583,7332.604450729509
82,6975,2024-01-16 18:00:00,7452.9453,7193.8269922947175
83,7001,2024-01-16 18:30:00,7308.5874,7097.4004572242275
84,7143,2024-01-16 19:00:00,7302.2324,7131.97056275519
85,7225,2024-01-16 19:30:00,7442.6675,7299.623588983778
86,7291,2024-01-16 20:00:00,7524.573,7399.178323377491
87,7376,2024-01-16 20:30:00,7555.2944,7417.332172620277
88,7480,2024-01-16 21:00:00,7628.978,7464.620352265456
89,7574,2024-01-16 21:30:00,7736.7856,7568.754616538211
90,7611,2024-01-16 22:00:00,7825.14,7659.779075815387
91,7624,2024-01-16 22:30:00,7900.0757,7702.793421679719
92,7603,2024-01-16 23:00:00,7935.849,7719.637462067762
93,7554,2024-01-16 23:30:00,7931.575,7722.569536825643
94,7511,2024-01-17 00:30:00,7805.1426,7599.629736687859
95,7429,2024-01-17 01:00:00,7697.2856,7548.695070991098
96,7362,2024-01-17 01:30:00,7580.1123,7494.4968903273575
97,7294,2024-01-17 02:00:00,7504.777,7416.995514698235
98,7198,2024-01-17 02:30:00,7472.0195,7337.245665209021
99,7106,2024-01-17 03:00:00,7415.808,7273.670375051989
100,7055,2024-01-17 03:30:00,7341.2773,7196.566133991762
101,7002,2024-01-17 04:00:00,7260.931,7143.561728152262
102,6941,2024-01-17 04:30:00,7166.0,7090.407010074251
103,6905,2024-01-17 05:00:00,7105.1025,7042.634888343746
104,6784,2024-01-17 05:30:00,7091.922,7007.2233297372995
105,6606,2024-01-17 06:00:00,6966.051,6914.051383609741
106,6489,2024-01-17 06:30:00,6725.5205,6769.812678699794
107,6532,2024-01-17 07:00:00,6622.6772,6685.322554301494
108,6686,2024-01-17 07:30:00,6633.4937,6674.021580644339
109,6929,2024-01-17 08:00:00,6761.1226,6868.226381246387
110,7099,2024-01-17 08:30:00,7024.28,7066.979843303114
111,7220,2024-01-17 09:00:00,7227.5654,7202.303178355304
112,7314,2024-01-17 09:30:00,7377.802,7277.5534798570025
113,7388,2024-01-17 10:00:00,7507.25,7352.4283340282855
114,7465,2024-01-17 10:30:00,7610.4585,7447.434381506875
115,7501,2024-01-17 11:00:00,7659.085,7512.005171360273
116,7507,2024-01-17 11:30:00,7655.7773,7489.355273120723
117,7454,2024-01-17 12:00:00,7638.8374,7451.7284376446705
118,7492,2024-01-17 12:30:00,7597.9175,7391.96932530878
119,7632,2024-01-17 13:00:00,7643.108,7430.438088725311
120,7809,2024-01-17 13:30:00,7770.754,7594.690650456177
121,7935,2024-01-17 14:00:00,7913.0,7743.512480758549
122,7994,2024-01-17 14:30:00,8081.6816,7900.77522756994
123,7952,2024-01-17 15:00:00,8178.1,7962.762763375686
