,carga_real,data_previsao,prevcarga,carga_prevista_final
0,13260,2024-01-15 00:30:00,12718.3,13224.80150538585
1,13102,2024-01-15 01:00:00,12551.579,13061.827721420967
2,12943,2024-01-15 01:30:00,12378.842,12904.068279533602
3,12792,2024-01-15 02:00:00,12235.179,12781.459103005236
4,12646,2024-01-15 02:30:00,12119.248,12706.66369761662
5,12507,2024-01-15 03:00:00,12014.136,12600.410881113543
6,12404,2024-01-15 03:30:00,11915.079,12471.928589198908
7,12329,2024-01-15 04:00:00,11845.641,12375.19381422138
8,12126,2024-01-15 04:30:00,11826.272,12325.995713556846
9,11685,2024-01-15 05:00:00,11639.524,12082.021276390655
10,11275,2024-01-15 05:30:00,11287.376,11663.366303211591
11,11054,2024-01-15 06:00:00,11098.182,11384.452269592095
12,10999,2024-01-15 06:30:00,11028.19,11135.873853418616
13,11077,2024-01-15 07:00:00,11259.515,11039.436744203123
14,11121,2024-01-15 07:30:00,11811.018,11105.428790395252
15,11203,2024-01-15 08:00:00,12317.278,11300.50876192041
16,11242,2024-01-15 08:30:00,12812.907,11367.178176885162
17,11240,2024-01-15 09:00:00,13165.114,11432.818600656396
18,11283,2024-01-15 09:30:00,13355.159,11417.50773668249
19,11369,2024-01-15 10:00:00,13553.127,11269.06963478317
20,11483,2024-01-15 10:30:00,13745.972,11340.676055209024
21,11592,2024-01-15 11:00:00,13872.275,11472.216273854501
22,11677,2024-01-15 11:30:00,13954.391,11544.253922441747
23,11685,2024-01-15 12:00:00,13905.776,11570.425715667676
24,11656,2024-01-15 12:30:00,13705.449,11578.03199284806
25,11634,2024-01-15 13:00:00,13716.698,11645.451765013433
26,11620,2024-01-15 13:30:00,13923.244,11690.270346800791
27,11636,2024-01-15 14:00:00,14127.242,11714.020679738413
28,11680,2024-01-15 14:30:00,14362.238,11731.321080881713
29,11737,2024-01-15 15:00:00,14436.395,11720.729291844507
30,11772,2024-01-15 15:30:00,14340.479,11730.124455293297
31,11823,2024-01-15 16:00:00,14224.042,11752.31913683249
32,11878,2024-01-15 16:30:00,14115.221,11832.000441058952
33,11924,2024-01-15 17:00:00,13715.476,11841.322477020494
34,12269,2024-01-15 17:30:00,12978.485,11786.897484238007
35,12906,2024-01-15 18:00:00,12841.604,12290.371988721543
36,13334,2024-01-15 18:30:00,13293.046,13072.587384422186
37,13422,2024-01-15 19:00:00,13499.259,13424.804878569534
38,13429,2024-01-15 19:30:00,13528.014,13376.563898865952
39,13425,2024-01-15 20:00:00,13518.535,13447.17217050282
40,13470,2024-01-15 20:30:00,13411.032,13440.013135739926
41,13576,2024-01-15 21:00:00,13540.102,13527.288597423876
42,13699,2024-01-15 21:30:00,13916.264,13692.87886403552
43,13791,2024-01-15 22:00:00,14097.905,13666.065332013153
44,13792,2024-01-15 22:30:00,14112.17,13733.330707264913
45,13697,2024-01-15 23:00:00,14056.548,13678.04149187421
46,13538,2024-01-15 23:30:00,13913.255,13599.179477560494
47,13126,2024-01-16 00:30:00,13741.01,12975.654576762023
48,12987,2024-01-16 01:00:00,13492.72,12812.002504779404
49,12852,2024-01-16 01:30:00,13235.76,12649.284709221107
50,12719,2024-01-16 02:00:00,13021.506,12517.260609594547
51,12594,2024-01-16 02:30:00,12847.483,12414.62858423004
52,12460,2024-01-16 03:00:00,12698.0205,12325.684138295299
53,12340,2024-01-16 03:30:00,12566.775,12242.47051914358
54,12224,2024-01-16 04:00:00,12484.587,12172.51827456358
55,12094,2024-01-16 04:30:00,12474.234,12146.527027055201
56,11758,2024-01-16 05:00:00,12271.361,11971.40656941269
57,11467,2024-01-16 05:30:00,11880.327,11658.360200891451
58,11461,2024-01-16 06:00:00,11643.96,11444.901612620502
59,11662,2024-01-16 06:30:00,11517.804,11383.848042547443
60,12079,2024-01-16 07:00:00,11686.867,11596.830521512704
61,12567,2024-01-16 07:30:00,12162.694,12091.96192902075
62,13055,2024-01-16 08:00:00,12650.457,12680.455427513416
63,13349,2024-01-16 08:30:00,13189.059,13142.826644162815
64,13570,2024-01-16 09:00:00,13550.361,13480.536460630387
65,13739,2024-01-16 09:30:00,13716.406,13663.703995205018
66,13948,2024-01-16 10:00:00,13918.522,13686.910194518772
67,14110,2024-01-16 10:30:00,14147.303,13862.483501107203
68,14166,2024-01-16 11:00:00,14237.792,14033.512004840743
69,14142,2024-01-16 11:30:00,14210.417,14089.777649466529
70,14009,2024-01-16 12:00:00,14116.964,14035.312479015707
71,13968,2024-01-16 12:30:00,13927.74,13841.075281513558
72,14061,2024-01-16 13:00:00,13958.687,13799.657482660848
73,14256,2024-01-16 13:30:00,14204.948,13991.567824675329
74,14435,2024-01-16 14:00:00,14415.465,14168.089728538294
75,14512,2024-01-16 14:30:00,14617.299,14374.060355219262
76,14472,2024-01-16 15:00:00,14708.972,14465.526621702698
77,14381,2024-01-16 15:30:00,14684.048,14397.264969621347
78,14220,2024-01-16 16:00:00,14573.188,14291.71257283793
79,13955,2024-01-16 16:30:00,14403.3125,14187.878126308604
80,13391,2024-01-16 17:00:00,13996.191,13796.63618097872
81,13203,2024-01-16 17:30:00,13308.242,13082.168724358919
82,13486,2024-01-16 18:00:00,13128.814,13284.04490455896
83,13797,2024-01-16 18:30:00,13440.363,13701.95749220641
84,13914,2024-01-16 19:00:00,13618.797,13919.853892145995
85,13868,2024-01-16 19:30:00,13707.028,13951.178119183638
86,13790,2024-01-16 20:00:00,13744.661,13919.765997251056
87,13893,2024-01-16 20:30:00,13673.423,13810.85680322285
88,14120,2024-01-16 21:00:00,13822.119,13899.168352676046
89,14316,2024-01-16 21:30:00,14255.538,14250.887315401615
90,14385,2024-01-16 22:00:00,14452.985,14320.534872417003
91,14362,2024-01-16 22:30:00,14440.663,14346.759202756886
92,14235,2024-01-16 23:00:00,14410.888,14261.607706366787
93,14009,2024-01-16 23:30:00,14321.419,14093.057110283256
94,13303,2024-01-17 00:30:00,14044.644,13764.480062299357
95,13127,2024-01-17 01:00:00,13855.6875,13565.76401434691
96,12973,2024-01-17 01:30:00,13662.982,13312.739498586663
97,12841,2024-01-17 02:00:00,13488.96,13107.348664753672
98,12710,2024-01-17 02:30:00,13332.882,12950.934465410746
99,12591,2024-01-17 03:00:00,13188.785,12800.510143629475
100,12522,2024-01-17 03:30:00,13048.428,12669.001957350034
101,12455,2024-01-17 04:00:00,12954.939,12592.902283981202
102,12317,2024-01-17 04:30:00,12930.7295,12586.72392703157
103,12003,2024-01-17 05:00:00,12708.172,12413.33902093615
104,11654,2024-01-17 05:30:00,12293.668,12074.028302077379
105,11597,2024-01-17 06:00:00,12020.251,11872.815086418486
106,11785,2024-01-17 06:30:00,11842.8125,11746.00034587913
107,12214,2024-01-17 07:00:00,11969.524,11886.35705542265
108,12683,2024-01-17 07:30:00,12409.084,12325.630173827742
109,13165,2024-01-17 08:00:00,12871.507,12856.902462630913
110,13495,2024-01-17 08:30:00,13398.093,13372.93644126376
111,13689,2024-01-17 09:00:00,13741.49,13764.54382555144
112,13838,2024-01-17 09:30:00,13882.053,13913.5131643509
113,13967,2024-01-17 10:00:00,14083.559,13854.455641908988
114,14066,2024-01-17 10:30:00,14337.325,14050.190742275605
115,14088,2024-01-17 11:00:00,14430.889,14225.501214783046
116,13986,2024-01-17 11:30:00,14387.536,14175.519679649877
117,13825,2024-01-17 12:00:00,14269.955,14044.851715872963
118,13812,2024-01-17 12:30:00,14046.814,13891.824641450541
119,13983,2024-01-17 13:00:00,14039.787,13970.147843378409
120,14242,2024-01-17 13:30:00,14242.726,14198.819838209905
121,14426,2024-01-17 14:00:00,14419.689,14361.052168500182
122,14500,2024-01-17 14:30:00,14600.632,14556.986611026501
123,14483,2024-01-17 15:00:00,14668.401,14627.54063750576
124,14415,2024-01-17 15:30:00,14608.406,14576.069035528108
125,14228,2024-01-17 16:00:00,14549.25,14488.300143165274
126,13834,2024-01-17 16:30:00,14522.852,14349.225396834821
