,carga_real,data_previsao,prevcarga,carga_prevista_final
0,12077,2024-01-15 00:30:00,13296.026,12909.434434328541
1,11764,2024-01-15 01:00:00,13088.694,12495.051815913184
2,11467,2024-01-15 01:30:00,12888.789,12132.353571401525
3,11212,2024-01-15 02:00:00,12659.215,11845.540714032952
4,11014,2024-01-15 02:30:00,12398.955,11588.668961431986
5,10820,2024-01-15 03:00:00,12195.05,11362.195465049303
6,10641,2024-01-15 03:30:00,12041.101,11157.608134597203
7,10504,2024-01-15 04:00:00,11956.335,10967.199115164487
8,10389,2024-01-15 04:30:00,11939.483,10892.593330156136
9,10179,2024-01-15 05:00:00,12003.744,10743.643454844972
10,9735,2024-01-15 05:30:00,12173.602,10450.487722398586
11,9857,2024-01-15 06:00:00,12299.831,10290.274566111097
12,10111,2024-01-15 06:30:00,12340.59,10189.568982070834
13,10446,2024-01-15 07:00:00,12893.385,10369.965439379037
14,10676,2024-01-15 07:30:00,13972.268,10758.442172732084
15,10806,2024-01-15 08:00:00,14864.488,10870.731655370446
16,10934,2024-01-15 08:30:00,15630.808,11007.708315646105
17,11159,2024-01-15 09:00:00,16184.571,11149.92111426051
18,11409,2024-01-15 09:30:00,16476.123,11296.408415124672
19,11737,2024-01-15 10:00:00,16868.174,11350.590932923256
20,12038,2024-01-15 10:30:00,17342.812,11674.794237158683
21,12251,2024-01-15 11:00:00,17668.598,12020.62938357302
22,12415,2024-01-15 11:30:00,17917.629,12303.47165845042
23,12560,2024-01-15 12:00:00,17749.496,12414.740033591188
24,12697,2024-01-15 12:30:00,17089.21,12416.697810325162
25,12869,2024-01-15 13:00:00,17142.453,12677.337341809227
26,12912,2024-01-15 13:30:00,17888.943,12784.470357600758
27,12924,2024-01-15 14:00:00,18347.799,12873.779630209809
28,12970,2024-01-15 14:30:00,18614.47,12969.763712029544
29,13003,2024-01-15 15:00:00,18648.791,12956.221308988072
30,13041,2024-01-15 15:30:00,18406.379,12987.535350466118
31,13010,2024-01-15 16:00:00,18307.975,12858.477199158137
32,13052,2024-01-15 16:30:00,18367.508,12834.363504083027
33,13218,2024-01-15 17:00:00,18104.713,12940.967199081753
34,13403,2024-01-15 17:30:00,17516.502,13180.486723018501
35,13432,2024-01-15 18:00:00,16730.52,13694.430480923687
36,13458,2024-01-15 18:30:00,15687.907,13810.653488144204
37,13578,2024-01-15 19:00:00,15462.05,14144.654761551235
38,14271,2024-01-15 19:30:00,16036.634,14578.549471316357
39,14666,2024-01-15 20:00:00,16520.895,14902.595985374295
40,14726,2024-01-15 20:30:00,17007.785,15281.59485249118
41,14748,2024-01-15 21:00:00,17224.727,15526.89555183771
42,14746,2024-01-15 21:30:00,17152.828,15369.42244712178
43,14659,2024-01-15 22:00:00,16943.252,15137.523490803867
44,14489,2024-01-15 22:30:00,16584.36,15037.610860907227
45,14200,2024-01-15 23:00:00,16129.597,14615.566722730602
46,13816,2024-01-15 23:30:00,15553.552,14300.298009151427
47,13284,2024-01-16 00:30:00,15451.479,13781.838279074784
48,12980,2024-01-16 01:00:00,15094.258,13415.759789387126
49,12769,2024-01-16 01:30:00,14734.332,13173.943649635841
50,12570,2024-01-16 02:00:00,14393.511,12950.12020195464
51,12428,2024-01-16 02:30:00,14066.484,12662.966980544732
52,12316,2024-01-16 03:00:00,13817.064,12463.061289050886
53,12246,2024-01-16 03:30:00,13645.374,12303.16162629851
54,12208,2024-01-16 04:00:00,13515.388,12247.78549355444
55,12243,2024-01-16 04:30:00,13425.685,12203.735105542837
56,12469,2024-01-16 05:00:00,13434.865,12300.38793448077
57,12505,2024-01-16 05:30:00,13560.011,12486.441224353723
58,12852,2024-01-16 06:00:00,13663.433,12610.462545908465
59,13420,2024-01-16 06:30:00,13715.669,12684.342525561482
60,14662,2024-01-16 07:00:00,14206.014,13293.665848242224
61,15607,2024-01-16 07:30:00,15127.222,14458.686213485216
62,16405,2024-01-16 08:00:00,16030.447,15074.808744516451
63,16883,2024-01-16 08:30:00,16988.836,15950.089147196506
64,17188,2024-01-16 09:00:00,17573.373,16651.961731601637
65,17478,2024-01-16 09:30:00,17749.242,16960.270002757552
66,17743,2024-01-16 10:00:00,18054.488,17333.613207471135
67,18089,2024-01-16 10:30:00,18450.137,17854.282095660776
68,18377,2024-01-16 11:00:00,18745.371,18269.835332094903
69,18160,2024-01-16 11:30:00,19010.795,18525.63915932751
70,17556,2024-01-16 12:00:00,18913.586,18347.11381762309
71,17693,2024-01-16 12:30:00,18390.092,17615.425416455793
72,18481,2024-01-16 13:00:00,18502.389,17601.345855288375
73,19126,2024-01-16 13:30:00,19226.49,18423.44349110187
74,19334,2024-01-16 14:00:00,19734.633,18846.97897445978
75,19354,2024-01-16 14:30:00,20117.85,19129.017169080274
76,19235,2024-01-16 15:00:00,20182.078,19134.534504271258
77,19122,2024-01-16 15:30:00,19877.898,18863.605178590646
78,19004,2024-01-16 16:00:00,19678.693,18959.139190481852
79,18797,2024-01-16 16:30:00,19574.047,18994.497214018593
80,18237,2024-01-16 17:00:00,19182.262,18540.522358241105
81,17431,2024-01-16 17:30:00,18579.803,17942.936659731997
82,16395,2024-01-16 18:00:00,17712.09,17621.467933840897
83,16145,2024-01-16 18:30:00,16489.861,16667.051833366924
84,16276,2024-01-16 19:00:00,16147.035,16195.661265502242
85,17080,2024-01-16 19:30:00,16661.992,16675.937360975717
86,17478,2024-01-16 20:00:00,16994.371,17218.76109688706
87,17506,2024-01-16 20:30:00,17220.893,17753.87148375633
88,17534,2024-01-16 21:00:00,17415.748,17899.96036164125
89,17482,2024-01-16 21:30:00,17551.012,17826.99117324353
90,17217,2024-01-16 22:00:00,17515.451,17430.167884160735
91,16815,2024-01-16 22:30:00,17311.975,17146.19536410332
92,16250,2024-01-16 23:00:00,16971.691,16816.305514080486
93,15761,2024-01-16 23:30:00,16506.283,16327.02112978149
94,14941,2024-01-17 00:30:00,14906.188,15611.734231702063
95,14526,2024-01-17 01:00:00,14522.427,15274.961666283227
96,14198,2024-01-17 01:30:00,14124.834,14847.85519026543
97,13895,2024-01-17 02:00:00,13797.829,14452.764568589511
98,13647,2024-01-17 02:30:00,13534.618,14125.690191478896
99,13418,2024-01-17 03:00:00,13341.647,13851.206227050205
100,13312,2024-01-17 03:30:00,13223.597,13651.895627992932
101,13277,2024-01-17 04:00:00,13141.69,13543.105779848185
102,13245,2024-01-17 04:30:00,13097.033,13469.729934044693
103,13266,2024-01-17 05:00:00,13124.985,13432.997275642476
104,13327,2024-01-17 05:30:00,13234.606,13569.304494239059
105,13502,2024-01-17 06:00:00,13391.226,13693.583162799494
106,14015,2024-01-17 06:30:00,13566.316,13761.939836981886
107,14947,2024-01-17 07:00:00,14124.12,14317.419625931712
108,15956,2024-01-17 07:30:00,15071.475,15319.336640146159
109,16986,2024-01-17 08:00:00,15946.609,16001.72684134557
110,17651,2024-01-17 08:30:00,16807.51,16908.94858022587
111,17927,2024-01-17 09:00:00,17374.62,17498.73917213206
112,18304,2024-01-17 09:30:00,17609.098,17686.31071422367
113,18726,2024-01-17 10:00:00,17966.803,18392.11249971787
114,19057,2024-01-17 10:30:00,18419.639,18839.71711617404
115,19327,2024-01-17 11:00:00,18730.555,19138.121615127187
116,19413,2024-01-17 11:30:00,18979.537,19441.797791354227
117,18899,2024-01-17 12:00:00,18787.777,19051.118923921924
118,19073,2024-01-17 12:30:00,18073.344,18373.225831583884
119,20016,2024-01-17 13:00:00,18155.795,18453.955023151444
120,20508,2024-01-17 13:30:00,19017.812,19326.19606235977
121,20560,2024-01-17 14:00:00,19539.707,19840.386533854966
122,20515,2024-01-17 14:30:00,19817.125,20264.303008303912
123,20309,2024-01-17 15:00:00,19894.406,20298.20285405071
124,20185,2024-01-17 15:30:00,19714.16,19989.326038401123
125,20060,2024-01-17 16:00:00,19604.768,19792.140318507285
126,19636,2024-01-17 16:30:00,19580.445,19692.409258541717
127,19007,2024-01-17 17:00:00,19248.738,19262.623811351034
128,18203,2024-01-17 17:30:00,18637.652,18572.50132161942
129,17139,2024-01-17 18:00:00,17874.402,17749.727904768857
130,16839,2024-01-17 18:30:00,16890.865,16586.621512080612
131,17228,2024-01-17 19:00:00,16605.123,16274.39292061026
132,17497,2024-01-17 19:30:00,17005.574,16762.696847576808
133,17673,2024-01-17 20:00:00,17315.756,16937.523995705193
134,17763,2024-01-17 20:30:00,17600.322,17169.056510464474
135,17745,2024-01-17 21:00:00,17809.846,17313.41940069916
136,17667,2024-01-17 21:30:00,17928.004,17451.84496296874
137,17493,2024-01-17 22:00:00,17889.008,17448.3822552918
138,17168,2024-01-17 22:30:00,17689.037,17233.978785147774
139,16677,2024-01-17 23:00:00,17373.209,16883.06647339142
140,16143,2024-01-17 23:30:00,16950.74,16396.230074770374
141,15666,2024-01-18 00:30:00,13978.396,14804.812620205725
142,15172,2024-01-18 01:00:00,13586.427,14660.57396689688
143,14728,2024-01-18 01:30:00,13177.971,14247.566282535481
144,14310,2024-01-18 02:00:00,12850.944,13693.069840568336
145,13989,2024-01-18 02:30:00,12600.5205,13416.15199530312
146,13745,2024-01-18 03:00:00,12396.845,13246.409801598233
147,13547,2024-01-18 03:30:00,12246.284,13138.056314739848
148,13363,2024-01-18 04:00:00,12142.257,13041.593269637377
149,13317,2024-01-18 04:30:00,12075.62,12972.466298080506
150,13392,2024-01-18 05:00:00,12133.636,13020.316999711236
151,13424,2024-01-18 05:30:00,12336.717,13148.05166046391
152,13487,2024-01-18 06:00:00,12474.813,13358.33916623207
153,13883,2024-01-18 06:30:00,12520.191,13481.90771617464
154,14911,2024-01-18 07:00:00,12984.019,14056.550987379587
155,15811,2024-01-18 07:30:00,13863.556,15078.632946143156
156,16690,2024-01-18 08:00:00,14650.56,15788.679196528044
157,17253,2024-01-18 08:30:00,15406.875,16596.715702331905
158,17662,2024-01-18 09:00:00,15887.859,17090.21443487489
159,17971,2024-01-18 09:30:00,16053.152,17343.289574168157
160,18259,2024-01-18 10:00:00,16349.391,17664.47954009221
161,18486,2024-01-18 10:30:00,16749.287,18143.86753876936
162,18606,2024-01-18 11:00:00,17011.803,18472.53898482673
163,18325,2024-01-18 11:30:00,17222.104,18753.374045321507
164,17778,2024-01-18 12:00:00,16958.404,18614.465737554165
165,17646,2024-01-18 12:30:00,16136.373,17859.633464449646
166,17999,2024-01-18 13:00:00,16165.461,17846.618052407764
167,18407,2024-01-18 13:30:00,17025.059,18715.589418639145
168,18576,2024-01-18 14:00:00,17530.68,19442.09898762669
169,18669,2024-01-18 14:30:00,17780.264,19758.012189226647
170,18490,2024-01-18 15:00:00,17845.723,19777.33953772208
171,18388,2024-01-18 15:30:00,17664.98,19569.287662753886
172,18224,2024-01-18 16:00:00,17540.035,19295.513607914778
173,17991,2024-01-18 16:30:00,17474.305,19247.923770300244
174,17396,2024-01-18 17:00:00,17144.455,18919.875080559068
175,16680,2024-01-18 17:30:00,16608.752,18357.49698371972
176,15744,2024-01-18 18:00:00,15879.127,18054.2832102975
177,15525,2024-01-18 18:30:00,14876.452,17183.137410736723
178,15702,2024-01-18 19:00:00,14610.031,16804.38829076683
179,16192,2024-01-18 19:30:00,15069.144,17155.806556840376
180,16330,2024-01-18 20:00:00,15338.277,17282.90655111929
