,carga_real,data_previsao,prevcarga,carga_prevista_final
0,42173,2024-01-15 00:30:00,40683.74,42089.67625944298
1,41327,2024-01-15 01:00:00,39801.586,41306.36922369247
2,40567,2024-01-15 01:30:00,38867.89,40576.93727992263
3,39880,2024-01-15 02:00:00,38181.79,39778.22208540566
4,39274,2024-01-15 02:30:00,37740.25,39146.35653133405
5,38685,2024-01-15 03:00:00,37344.99,38484.020907472965
6,38237,2024-01-15 03:30:00,37011.46,38021.310602560654
7,37921,2024-01-15 04:00:00,36890.105,37618.661131643195
8,37520,2024-01-15 04:30:00,36908.246,37421.67548840099
9,36880,2024-01-15 05:00:00,37198.7,36922.54743486421
10,35987,2024-01-15 05:30:00,37877.047,36368.7810394963
11,35821,2024-01-15 06:00:00,38516.37,35986.8950741212
12,35952,2024-01-15 06:30:00,39062.15,35272.48321131339
13,36293,2024-01-15 07:00:00,40212.92,35252.42416302292
14,36689,2024-01-15 07:30:00,41934.855,35808.36376147633
15,37251,2024-01-15 08:00:00,43713.92,35998.47188262258
16,37754,2024-01-15 08:30:00,45636.484,36808.04681123227
17,38370,2024-01-15 09:00:00,47090.63,37441.05042357194
18,38986,2024-01-15 09:30:00,48057.23,38087.18912768463
19,39569,2024-01-15 10:00:00,48921.84,38194.92883800428
20,40147,2024-01-15 10:30:00,49645.44,38751.89842999655
21,40767,2024-01-15 11:00:00,50121.023,39351.680753359775
22,41281,2024-01-15 11:30:00,50396.56,39833.58479281096
23,41651,2024-01-15 12:00:00,50347.46,40206.650093616816
24,41775,2024-01-15 12:30:00,49901.34,40483.55438595348
25,41738,2024-01-15 13:00:00,50075.457,40471.724905287745
26,41700,2024-01-15 13:30:00,50864.113,40493.62576947461
27,41805,2024-01-15 14:00:00,51352.45,40457.02377787891
28,41853,2024-01-15 14:30:00,51613.74,40298.29480505557
29,41844,2024-01-15 15:00:00,51700.03,40254.82636620318
30,41910,2024-01-15 15:30:00,51561.81,40562.121140091105
31,42128,2024-01-15 16:00:00,51339.074,40817.43409468036
32,42483,2024-01-15 16:30:00,51098.617,41153.019651307564
33,43059,2024-01-15 17:00:00,50201.883,41599.89492684876
34,43637,2024-01-15 17:30:00,48651.066,42228.35093209116
35,44044,2024-01-15 18:00:00,47683.426,44100.30945951597
36,45089,2024-01-15 18:30:00,47098.31,44857.42895843404
37,46289,2024-01-15 19:00:00,47743.25,45514.96978774349
38,47141,2024-01-15 19:30:00,49737.93,46918.03975086491
39,47141,2024-01-15 20:00:00,50677.25,47322.80965653868
40,47188,2024-01-15 20:30:00,50716.35,47365.473491395045
41,47124,2024-01-15 21:00:00,50609.71,46948.543866833184
42,46927,2024-01-15 21:30:00,50230.35,46673.03655284224
43,46625,2024-01-15 22:00:00,49473.12,45929.69860956896
44,46106,2024-01-15 22:30:00,48364.062,45455.25223519085
45,45287,2024-01-15 23:00:00,47111.355,44574.00101502872
46,44305,2024-01-15 23:30:00,45669.984,43812.37949283768
47,39127,2024-01-16 00:30:00,46154.47,40816.70041903458
48,38483,2024-01-16 01:00:00,45063.33,40336.772582445075
49,37828,2024-01-16 01:30:00,43911.844,39376.28353256081
50,37281,2024-01-16 02:00:00,43046.645,38698.873051128896
51,36930,2024-01-16 02:30:00,42465.312,38188.193289299656
52,36591,2024-01-16 03:00:00,41898.164,37785.07905393193
53,36463,2024-01-16 03:30:00,41351.45,37391.52483430632
54,36588,2024-01-16 04:00:00,41048.08,37303.61131553953
55,36743,2024-01-16 04:30:00,40992.316,37341.420902268546
56,37139,2024-01-16 05:00:00,40936.992,37561.70863178161
57,37523,2024-01-16 05:30:00,40896.582,38286.075892693036
58,38788,2024-01-16 06:00:00,41165.4,39076.47077852191
59,40125,2024-01-16 06:30:00,41675.676,39625.00932317551
60,42024,2024-01-16 07:00:00,42852.176,40935.444964481336
61,43987,2024-01-16 07:30:00,44737.812,42764.85998823594
62,45712,2024-01-16 08:00:00,46413.2,44461.880222167245
63,47118,2024-01-16 08:30:00,47936.03,46515.040525459255
64,48244,2024-01-16 09:00:00,49264.902,48123.59160627351
65,49129,2024-01-16 09:30:00,50354.4,49341.889488780485
66,49877,2024-01-16 10:00:00,51322.844,49364.521986248445
67,50456,2024-01-16 10:30:00,52176.594,50030.41649321565
68,50890,2024-01-16 11:00:00,52670.6,50607.3500725734
69,51103,2024-01-16 11:30:00,52831.96,50838.22875409568
70,50895,2024-01-16 12:00:00,52838.28,50600.580728438064
71,50937,2024-01-16 12:30:00,52604.395,50193.75587579885
72,51564,2024-01-16 13:00:00,52964.887,50285.191778107706
73,51841,2024-01-16 13:30:00,53939.004,51081.82985791557
74,52251,2024-01-16 14:00:00,54555.94,51626.00530868422
75,52553,2024-01-16 14:30:00,54877.125,51900.33030444582
